,Kilométrage,Année-Modèle,Marque,Modèle,Nombre de portes,Origine,Première main,carburant,puiFiscale,boiteVitesse,price
29,170 000 - 179 999,2015,Dacia,Dokker,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,108000.0
30,140 000 - 149 999,2007,Suzuki,Vitara,,,,Essence,--,--,55000.0
31,180 000 - 189 999,2010,Citroen,C4,5,Dédouanée,Non,Diesel,6 CV,Manuelle,83000.0
32,200 000 - 249 999,2009,Opel,Insignia,5,Importée neuve,Non,Diesel,8 CV,Manuelle,93000.0
33,0 - 4 999,1991,Fiat,Uno,5,Dédouanée,Non,Essence,6 CV,Manuelle,28000.0
34,35 000 - 39 999,1990,Peugeot,405,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,38000.0
35,170 000 - 179 999,2015,Dacia,Dokker,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,108000.0
36,140 000 - 149 999,2007,Suzuki,Vitara,,,,Essence,--,--,55000.0
37,180 000 - 189 999,2010,Citroen,C4,5,Dédouanée,Non,Diesel,6 CV,Manuelle,83000.0
38,200 000 - 249 999,2009,Opel,Insignia,5,Importée neuve,Non,Diesel,8 CV,Manuelle,93000.0
39,0 - 4 999,1991,Fiat,Uno,5,Dédouanée,Non,Essence,6 CV,Manuelle,28000.0
40,35 000 - 39 999,1990,Peugeot,405,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,38000.0
41,80 000 - 84 999,2018,Volkswagen,Tiguan,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,
42,200 000 - 249 999,2008,Toyota,Corolla,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,82000.0
43,25 000 - 29 999,2000,Mercedes-Benz,220,5,Dédouanée,Non,Diesel,9 CV,Automatique,78000.0
44,80 000 - 84 999,2009,Chery,A113,,,,Essence,--,--,37000.0
45,110 000 - 119 999,2013,Ford,Fiesta,5,,,Diesel,6 CV,Manuelle,90000.0
46,15 000 - 19 999,1998,Fiat,Uno,,,,Essence,6 CV,Manuelle,
47,75 000 - 79 999,2016,Volkswagen,Jetta,5,WW au Maroc,,Diesel,6 CV,Automatique,
48,190 000 - 199 999,2007,Citroen,C4,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,62000.0
49,75 000 - 79 999,2017,Seat,Leon,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,157000.0
50,130 000 - 139 999,2012,Fiat,Doblo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,68000.0
51,200 000 - 249 999,2007,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,53000.0
52,15 000 - 19 999,2008,Fiat,Pinto,5,Importée neuve,Oui,Essence,6 CV,Manuelle,
53,350 000 - 399 999,2015,Fiat,Doblo,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,62000.0
54,200 000 - 249 999,2007,Citroen,C4,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,60000.0
55,140 000 - 149 999,2009,Volkswagen,Passat,5,,Non,Diesel,8 CV,Automatique,115000.0
56,5 000 - 9 999,2012,Peugeot,207,5,Dédouanée,Oui,Diesel,6 CV,Manuelle,79000.0
57,120 000 - 129 999,2013,Peugeot,308,5,Importée neuve,Non,Diesel,6 CV,Manuelle,
58,250 000 - 299 999,2013,Dacia,Dokker,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,68000.0
59,20 000 - 24 999,2006,Renault,Kangoo,3,WW au Maroc,Non,Diesel,5 CV,Manuelle,50000.0
60,15 000 - 19 999,2019,Renault,Megane,5,Importée neuve,Oui,Diesel,6 CV,Manuelle,
61,170 000 - 179 999,2006,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,52000.0
62,60 000 - 64 999,2017,Audi,Q3,5,WW au Maroc,,Diesel,8 CV,Automatique,
63,40 000 - 44 999,2018,Renault,Clio,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,120000.0
64,40 000 - 44 999,2016,Dacia,Logan,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,
65,20 000 - 24 999,2020,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,135000.0
66,30 000 - 34 999,1999,Fiat,Punto,3,,,Essence,6 CV,Manuelle,27000.0
67,30 000 - 34 999,2006,Peugeot,Partner,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,46000.0
68,120 000 - 129 999,2017,Renault,Clio,5,WW au Maroc,Non,Diesel,6 CV,Automatique,124000.0
69,0 - 4 999,2021,Volkswagen,Golf,5,Importée neuve,,Diesel,--,Automatique,
70,40 000 - 44 999,2016,Dacia,Logan,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,
71,20 000 - 24 999,2020,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,135000.0
72,30 000 - 34 999,1999,Fiat,Punto,3,,,Essence,6 CV,Manuelle,27000.0
73,30 000 - 34 999,2006,Peugeot,Partner,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,46000.0
74,120 000 - 129 999,2017,Renault,Clio,5,WW au Maroc,Non,Diesel,6 CV,Automatique,124000.0
75,0 - 4 999,2021,Volkswagen,Golf,5,Importée neuve,,Diesel,--,Automatique,
76,15 000 - 19 999,2009,Renault,Kangoo,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,68000.0
77,160 000 - 169 999,2012,Renault,Clio,5,Dédouanée,Non,Diesel,6 CV,Manuelle,115000.0
78,200 000 - 249 999,2011,Kia,Ceed,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,82000.0
79,150 000 - 159 999,2011,Renault,Kangoo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,80000.0
80,5 000 - 9 999,1989,Fiat,REGATA,5,Dédouanée,Oui,Diesel,8 CV,Manuelle,15000.0
81,85 000 - 89 999,2018,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,126000.0
82,10 000 - 14 999,2003,Peugeot,307,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
83,200 000 - 249 999,2007,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,53000.0
84,20 000 - 24 999,2016,Fiat,500,3,WW au Maroc,Oui,Essence,6 CV,Manuelle,
85,120 000 - 129 999,2012,Volkswagen,Touran,5,Dédouanée,Non,Diesel,8 CV,Automatique,175000.0
86,0 - 4 999,2021,Kia,Picanto,,WW au Maroc,Oui,Essence,5 CV,Manuelle,
87,15 000 - 19 999,2019,Hyundai,i 20,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
88,250 000 - 299 999,2005,Mercedes-Benz,270,5,Dédouanée,Non,Diesel,11 CV,Automatique,65000.0
89,90 000 - 94 999,2018,Land Rover,Range Rover Evoque,5,WW au Maroc,Non,Diesel,8 CV,Automatique,
90,160 000 - 169 999,2006,Citroen,C3,5,WW au Maroc,Non,Essence,6 CV,Manuelle,
91,35 000 - 39 999,2018,Dacia,Duster,,,,Diesel,4 CV,--,112000.0
92,170 000 - 179 999,2008,BMW,Serie 3 coupé,3,Dédouanée,Non,Diesel,12 CV,Automatique,105000.0
93,190 000 - 199 999,2000,Peugeot,406,,,,Diesel,--,--,40000.0
94,40 000 - 44 999,2018,Opel,Crossland X,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
95,350 000 - 399 999,2001,Fiat,Palio,5,Dédouanée,Non,Diesel,7 CV,Manuelle,27000.0
96,130 000 - 139 999,2018,Volkswagen,Tiguan,,Dédouanée,Oui,Diesel,--,Automatique,
97,65 000 - 69 999,2019,Mercedes-Benz,Classe A,5,Dédouanée,,Diesel,8 CV,Automatique,
98,100 000 - 109 999,2009,Toyota,Corolla,5,WW au Maroc,Oui,Diesel,8 CV,Manuelle,72000.0
99,55 000 - 59 999,2016,BMW,Serie 4,,WW au Maroc,,Diesel,--,Automatique,
100,110 000 - 119 999,2005,Hyundai,Accent,,,,Diesel,6 CV,--,38000.0
101,200 000 - 249 999,2009,Mercedes-Benz,220,5,,Non,Diesel,9 CV,Manuelle,
102,75 000 - 79 999,2017,Ford,Fiesta,5,WW au Maroc,Oui,Diesel,5 CV,Manuelle,
103,350 000 - 399 999,1998,Mercedes-Benz,Classe C,5,,Oui,Diesel,10 CV,Manuelle,60000.0
104,180 000 - 189 999,2006,Ford,Fiesta,5,WW au Maroc,Non,Essence,7 CV,Manuelle,520000.0
105,140 000 - 149 999,2015,Volkswagen,Touran,5,Dédouanée,,Diesel,8 CV,Automatique,185000.0
106,150 000 - 159 999,2007,Renault,Kangoo,,Dédouanée,Oui,Diesel,7 CV,Manuelle,58000.0
107,180 000 - 189 999,2006,Ford,Fiesta,5,WW au Maroc,Non,Essence,7 CV,Manuelle,520000.0
108,190 000 - 199 999,2005,Hyundai,Accent,,,,Diesel,6 CV,--,38000.0
109,170 000 - 179 999,2007,Kia,Carens,5,Dédouanée,Non,Diesel,8 CV,Manuelle,85000.0
110,5 000 - 9 999,2007,Renault,Clio,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,55000.0
111,5 000 - 9 999,2007,Renault,Clio,5,WW au Maroc,Non,Essence,7 CV,Manuelle,55000.0
112,80 000 - 84 999,2016,Renault,Clio,5,Dédouanée,Oui,Diesel,6 CV,Manuelle,95000.0
113,300 000 - 349 999,2007,Opel,Astra,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,72000.0
114,180 000 - 189 999,2010,BMW,Serie 7,,,,Essence,17 CV,--,
115,85 000 - 89 999,2007,Kia,Picanto,,,,Essence,--,--,
116,130 000 - 139 999,2013,Ford,Fiesta,,,,Diesel,6 CV,--,85000.0
117,200 000 - 249 999,2013,Hyundai,i 30,5,WW au Maroc,Non,Diesel,6 CV,Automatique,119000.0
118,200 000 - 249 999,2012,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,65000.0
119,300 000 - 349 999,2003,Renault,Megane Coupe,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,
120,120 000 - 129 999,2007,Kia,Picanto,,,Non,Essence,6 CV,Manuelle,50000.0
121,0 - 4 999,2001,Renault,Clio,,,,Essence,7 CV,--,42000.0
122,160 000 - 169 999,2006,Citroen,C3,5,WW au Maroc,Non,Essence,6 CV,Manuelle,53000.0
123,80 000 - 84 999,2012,Dacia,Duster,5,WW au Maroc,,Diesel,6 CV,Manuelle,99000.0
124,75 000 - 79 999,2010,Mazda,2,5,WW au Maroc,Oui,Essence,8 CV,Manuelle,65000.0
125,140 000 - 149 999,2013,Land Rover,Range Rover,,,,Diesel,9 CV,--,
126,0 - 4 999,2001,Renault,Clio,,,,Essence,7 CV,--,42000.0
127,0 - 4 999,2021,Kia,Picanto,5,WW au Maroc,Oui,Essence,5 CV,Manuelle,
128,150 000 - 159 999,2007,Peugeot,Partner,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,55000.0
129,100 000 - 109 999,2014,Volkswagen,Polo,,,,Diesel,5 CV,--,100000.0
130,85 000 - 89 999,1998,Toyota,Corolla,,WW au Maroc,Non,Diesel,8 CV,--,26000.0
131,15 000 - 19 999,2004,Volkswagen,GOLF 5,5,Dédouanée,Non,Diesel,8 CV,Manuelle,70000.0
132,160 000 - 169 999,2006,Citroen,C3,5,WW au Maroc,Non,Essence,5 CV,Automatique,53000.0
133,140 000 - 149 999,2017,Hyundai,Tucson,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,230000.0
134,200 000 - 249 999,2004,Renault,Scenic,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,64000.0
135,80 000 - 84 999,2016,Volkswagen,Passat,,,,Electrique,8 CV,--,
136,5 000 - 9 999,2002,Honda,Civic,5,WW au Maroc,,Essence,9 CV,Automatique,48000.0
137,120 000 - 129 999,2009,Hyundai,i 10,5,WW au Maroc,Non,Essence,6 CV,Manuelle,46000.0
138,65 000 - 69 999,2016,Renault,Megane,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,129000.0
139,200 000 - 249 999,2005,Audi,A4,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,78000.0
140,160 000 - 169 999,2006,Citroen,C3,5,WW au Maroc,Non,Essence,6 CV,Manuelle,53000.0
141,80 000 - 84 999,2012,Dacia,Duster,5,WW au Maroc,,Diesel,6 CV,Manuelle,99000.0
142,75 000 - 79 999,2010,Mazda,2,5,WW au Maroc,Oui,Essence,8 CV,Manuelle,65000.0
143,140 000 - 149 999,2013,Land Rover,Range Rover,,,,Diesel,9 CV,--,
144,0 - 4 999,2001,Renault,Clio,,,,Essence,7 CV,--,42000.0
145,0 - 4 999,2021,Kia,Picanto,5,WW au Maroc,Oui,Essence,5 CV,Manuelle,
146,150 000 - 159 999,2007,Peugeot,Partner,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,55000.0
147,100 000 - 109 999,2014,Volkswagen,Polo,,,,Diesel,5 CV,--,100000.0
148,85 000 - 89 999,1998,Toyota,Corolla,,WW au Maroc,Non,Diesel,8 CV,--,26000.0
149,15 000 - 19 999,2004,Volkswagen,GOLF 5,5,Dédouanée,Non,Diesel,8 CV,Manuelle,70000.0
150,160 000 - 169 999,2006,Citroen,C3,5,WW au Maroc,Non,Essence,5 CV,Automatique,53000.0
151,140 000 - 149 999,2017,Hyundai,Tucson,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,230000.0
152,200 000 - 249 999,2004,Renault,Scenic,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,64000.0
153,80 000 - 84 999,2016,Volkswagen,Passat,,,,Electrique,8 CV,--,
154,5 000 - 9 999,2002,Honda,Civic,5,WW au Maroc,,Essence,9 CV,Automatique,48000.0
155,120 000 - 129 999,2009,Hyundai,i 10,5,WW au Maroc,Non,Essence,6 CV,Manuelle,46000.0
156,65 000 - 69 999,2016,Renault,Megane,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,129000.0
157,200 000 - 249 999,2005,Audi,A4,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,78000.0
158,180 000 - 189 999,2009,Toyota,RAV 4,,WW au Maroc,Non,Diesel,9 CV,Manuelle,90000.0
159,180 000 - 189 999,2010,Volkswagen,Touareg,5,WW au Maroc,Non,Diesel,10 CV,Automatique,92000.0
160,150 000 - 159 999,2018,Volkswagen,Tiguan,5,Dédouanée,,Diesel,8 CV,Automatique,365000.0
161,170 000 - 179 999,2006,mini,cooper,3,Dédouanée,,Essence,9 CV,Automatique,70000.0
162,85 000 - 89 999,2015,Jeep,Wrangler,,WW au Maroc,Oui,Diesel,11 CV,--,
163,35 000 - 39 999,2017,Ford,Fiesta,5,WW au Maroc,Oui,Essence,--,Manuelle,97000.0
164,0 - 4 999,2016,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
165,75 000 - 79 999,2016,Volkswagen,Polo,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,105000.0
166,70 000 - 74 999,2019,Renault,Clio,,WW au Maroc,Non,Diesel,6 CV,Manuelle,113000.0
167,30 000 - 34 999,1998,Mercedes-Benz,190,5,Dédouanée,Non,Diesel,9 CV,Manuelle,65000.0
168,250 000 - 299 999,2007,Dacia,Logan,,,,Diesel,6 CV,--,41000.0
169,190 000 - 199 999,2000,Audi,A3,3,Dédouanée,Oui,Diesel,8 CV,Manuelle,
170,100 000 - 109 999,2011,Peugeot,3008,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,125000.0
171,190 000 - 199 999,2012,Audi,Q5,5,Dédouanée,Non,Diesel,8 CV,Manuelle,
172,110 000 - 119 999,2002,Volkswagen,Passat,5,Dédouanée,Oui,Diesel,8 CV,Manuelle,
173,170 000 - 179 999,2013,Volkswagen,Passat,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,
174,150 000 - 159 999,2016,Volkswagen,Tiguan,,Dédouanée,Non,Diesel,8 CV,Automatique,358000.0
175,250 000 - 299 999,1996,Mercedes-Benz,250,5,Dédouanée,Oui,Diesel,8 CV,Manuelle,
176,200 000 - 249 999,1997,Fiat,Uno,5,WW au Maroc,Non,Essence,6 CV,Manuelle,22000.0
177,100 000 - 109 999,2013,Isuzu,D-MAX,,,,Diesel,8 CV,--,110000.0
178,0 - 4 999,2002,Fiat,Siena,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,35000.0
179,250 000 - 299 999,2015,Volkswagen,Touran,5,Dédouanée,Non,Diesel,7 CV,Automatique,165000.0
180,100 000 - 109 999,2014,Peugeot,2008,5,Dédouanée,Oui,Diesel,6 CV,Manuelle,
181,200 000 - 249 999,2009,Mitsubishi,pajero,5,WW au Maroc,Oui,Diesel,11 CV,Manuelle,59000.0
182,90 000 - 94 999,2008,Citroen,C3,5,WW au Maroc,Non,Essence,6 CV,Manuelle,
183,15 000 - 19 999,2001,Ford,Mondeo,5,,,Diesel,6 CV,Manuelle,65000.0
184,160 000 - 169 999,1997,Fiat,Punto,5,Dédouanée,Non,Essence,6 CV,Manuelle,32000.0
185,160 000 - 169 999,2016,Audi,A3,,,,Diesel,8 CV,--,
186,40 000 - 44 999,1988,Peugeot,405,5,Dédouanée,Non,Diesel,7 CV,Manuelle,35000.0
187,170 000 - 179 999,2011,Honda,CR-V,5,WW au Maroc,Non,Diesel,9 CV,Manuelle,
188,180 000 - 189 999,1994,Peugeot,309,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,26000.0
189,250 000 - 299 999,2005,Volkswagen,GOLF 5,5,Dédouanée,Non,Diesel,8 CV,Manuelle,78000.0
190,180 000 - 189 999,2009,Toyota,RAV 4,5,WW au Maroc,Non,Diesel,9 CV,Manuelle,90000.0
191,120 000 - 129 999,2009,Fiat,Panda,5,WW au Maroc,Non,Essence,6 CV,Manuelle,43000.0
192,170 000 - 179 999,1999,Peugeot,406,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,39000.0
193,250 000 - 299 999,2005,Volkswagen,GOLF 5,5,Dédouanée,Non,Diesel,8 CV,Manuelle,78000.0
194,160 000 - 169 999,2012,Citroen,C-Elysée,5,,Non,Diesel,6 CV,Manuelle,73000.0
195,120 000 - 129 999,2014,Hyundai,Elantra,,,,Diesel,7 CV,--,
196,300 000 - 349 999,2007,Toyota,Prado,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,106000.0
197,350 000 - 399 999,1990,Peugeot,405,5,Dédouanée,,Diesel,8 CV,Manuelle,23000.0
198,200 000 - 249 999,2008,Citroen,C5,5,Dédouanée,Non,Diesel,8 CV,Manuelle,71000.0
199,5 000 - 9 999,2011,BMW,Serie 5,5,WW au Maroc,Non,Diesel,12 CV,Automatique,141000.0
200,130 000 - 139 999,2008,Ford,Fiesta,,,Non,Essence,--,--,53000.0
201,120 000 - 129 999,1995,Mercedes-Benz,310D,,,,Diesel,--,--,135000.0
202,100 000 - 109 999,2016,Toyota,Corolla,5,,,Diesel,--,Manuelle,135000.0
203,180 000 - 189 999,2014,Peugeot,301,5,WW au Maroc,Non,Essence,6 CV,Manuelle,82000.0
204,0 - 4 999,2016,Renault,Avantime,,,,Diesel,--,--,
205,30 000 - 34 999,2019,Dacia,Duster,,,,Diesel,6 CV,--,
206,130 000 - 139 999,2013,Hyundai,Accent,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,97000.0
207,110 000 - 119 999,2017,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,185000.0
208,200 000 - 249 999,2009,Peugeot,206,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,63000.0
209,300 000 - 349 999,2005,Ford,Fiesta,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,52000.0
210,180 000 - 189 999,2008,Ssangyong,Actyon,5,WW au Maroc,Oui,Diesel,8 CV,Manuelle,55000.0
211,400 000 - 449 999,2013,Renault,Kangoo,5,,Oui,Diesel,7 CV,Manuelle,62000.0
212,90 000 - 94 999,2017,Jeep,Grand Cherokee,5,WW au Maroc,Non,Diesel,12 CV,Automatique,
213,110 000 - 119 999,2013,Renault,Megane Coupe,3,,,Diesel,7 CV,--,128000.0
214,120 000 - 129 999,2014,Renault,Kangoo,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,110000.0
215,120 000 - 129 999,2002,Alfa Romeo,156,5,WW au Maroc,Non,Essence,11 CV,Manuelle,26000.0
216,95 000 - 99 999,2016,BMW,X3,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,260000.0
217,80 000 - 84 999,2016,Peugeot,208,5,WW au Maroc,,Diesel,6 CV,Manuelle,
218,100 000 - 109 999,2016,BMW,Serie 4,,,,Diesel,8 CV,--,279000.0
219,180 000 - 189 999,2012,Hyundai,ix 35,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,130000.0
220,50 000 - 54 999,2005,Citroen,Berlingo,5,Dédouanée,Non,Diesel,6 CV,Manuelle,47000.0
221,20 000 - 24 999,2016,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
222,120 000 - 129 999,2010,Suzuki,Swift,5,WW au Maroc,Non,Essence,7 CV,Manuelle,59000.0
223,160 000 - 169 999,2016,Fiat,Doblo,5,,,Diesel,6 CV,Manuelle,
224,95 000 - 99 999,2018,Dacia,Sandero,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,110000.0
225,120 000 - 129 999,2013,Volkswagen,Caddy,5,Dédouanée,Non,Diesel,6 CV,Manuelle,150000.0
226,0 - 4 999,1990,Volkswagen,GOLF 2,5,Dédouanée,Non,Diesel,7 CV,Manuelle,
227,95 000 - 99 999,2014,Renault,Megane 3,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,117000.0
228,25 000 - 29 999,2018,Dacia,Sandero,5,WW au Maroc,,Diesel,6 CV,Manuelle,120000.0
229,10 000 - 14 999,2019,Audi,A6,,,,Electrique,10 CV,--,
230,170 000 - 179 999,2006,BMW,Serie 3,5,Importée neuve,,Essence,11 CV,Manuelle,72000.0
231,100 000 - 109 999,2015,Volkswagen,Tiguan,,Dédouanée,,Diesel,--,Manuelle,233000.0
232,170 000 - 179 999,2005,Citroen,C3,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,49000.0
233,200 000 - 249 999,1998,Seat,Toledo,5,WW au Maroc,Non,Essence,8 CV,Manuelle,41000.0
234,70 000 - 74 999,2018,Renault,Kangoo,,,,Diesel,6 CV,--,105000.0
235,80 000 - 84 999,2019,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,110000.0
236,190 000 - 199 999,2010,Audi,A3,5,Dédouanée,,Diesel,8 CV,Automatique,
237,250 000 - 299 999,2000,Mercedes-Benz,250,5,Pas encore dédouanée,Non,Diesel,10 CV,Manuelle,75000.0
238,200 000 - 249 999,2004,Renault,Megane,,,,Essence,6 CV,--,42000.0
239,60 000 - 64 999,2019,Renault,Kangoo,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,124000.0
240,120 000 - 129 999,2013,Fiat,Doblo,,,,Diesel,5 CV,--,75000.0
241,150 000 - 159 999,2014,Toyota,Land Cruiser,5,Importée neuve,,Diesel,19 CV,Automatique,550000.0
242,190 000 - 199 999,2004,Peugeot,206,,WW au Maroc,,Diesel,6 CV,Manuelle,52000.0
243,180 000 - 189 999,2019,Volkswagen,Tiguan,,,,Diesel,8 CV,--,200000.0
244,110 000 - 119 999,2019,Citroen,C3,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,130000.0
245,80 000 - 84 999,2016,Peugeot,208,5,WW au Maroc,,Diesel,6 CV,Manuelle,
246,100 000 - 109 999,2016,BMW,Serie 4,,,,Diesel,8 CV,--,279000.0
247,180 000 - 189 999,2012,Hyundai,ix 35,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,130000.0
248,50 000 - 54 999,2005,Citroen,Berlingo,5,Dédouanée,Non,Diesel,6 CV,Manuelle,47000.0
249,20 000 - 24 999,2016,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
250,120 000 - 129 999,2010,Suzuki,Swift,5,WW au Maroc,Non,Essence,7 CV,Manuelle,59000.0
251,160 000 - 169 999,2016,Fiat,Doblo,5,,,Diesel,6 CV,Manuelle,
252,95 000 - 99 999,2018,Dacia,Sandero,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,110000.0
253,120 000 - 129 999,2013,Volkswagen,Caddy,5,Dédouanée,Non,Diesel,6 CV,Manuelle,150000.0
254,0 - 4 999,1990,Volkswagen,GOLF 2,5,Dédouanée,Non,Diesel,7 CV,Manuelle,
255,95 000 - 99 999,2014,Renault,Megane 3,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,117000.0
